build frame, eskf_obs, fov segment, laser convert, laser ds, map update, optimize, poseEstimate, predict, processMeasurement, pub cloud, state init, 
3.31248,0.017836,0.020006,1.2319,3.76488,0.601984,6.63652,7.24193,0.042582,13.296,0.009866,0.000352,
3.27564,0.017936,0.019992,1.22397,3.25453,0.60907,7.0791,7.26769,0.042524,39.4551,0.009569,0.000351,
3.4989,0.017254,0.020178,5.93458,11.867,0.602665,6.77368,7.70414,0.045391,16.6658,0.009964,0.000352,
3.29334,0.019591,0.019368,1.94766,5.99681,0.599722,7.02951,7.39479,0.042382,10.9336,0.012035,0.000421,
3.26863,0.016488,0.018892,1.02774,3.06775,0.563551,6.94774,7.61369,0.041653,10.7311,0.009685,0.000435,
3.38148,0.017309,0.018888,1.0023,3.11914,0.60193,6.78467,7.57028,0.041764,10.6559,0.009994,0.000412,
3.32695,0.017589,0.019092,1.07954,3.07093,0.581154,6.67637,7.38675,0.042793,11.3542,0.009483,0.000313,
3.3049,0.016032,0.018633,1.42842,4.53662,0.585533,7.05552,7.28245,0.042538,11.182,0.015099,0.00062,
3.34559,0.016593,0.018038,1.06591,3.06732,0.584048,6.78901,7.65986,0.04243,11.1638,0.009722,0.000455,
3.3003,0.024195,0.020567,1.02277,3.10349,0.630537,6.48521,7.44387,0.041712,11.4435,0.016619,0.000282,
3.26417,0.024636,0.020423,1.45114,4.52192,0.591138,6.92758,7.09863,0.041564,10.9127,0.018647,0.000294,
3.33237,0.017447,0.018544,1.03517,3.12687,0.585571,6.80944,7.53345,0.042744,10.9322,0.010047,0.000357,
3.28012,0.017404,0.019572,1.03334,3.11084,0.584547,7.01613,7.41521,0.041233,10.9217,0.010326,0.000302,
3.43366,0.017613,0.019911,1.02165,3.16226,0.621938,9.1097,7.65982,0.042269,11.6109,0.011423,0.000289,
4.17086,0.020689,0.024043,1.03433,3.07073,0.793955,7.04065,9.92964,0.050867,11.0898,0.012887,0.000343,
4.7002,0.025658,0.018844,1.00055,3.06766,0.596332,6.60713,7.65816,0.059418,11.2529,0.018417,0.000337,
3.32906,0.016304,0.018094,1.05366,3.04845,0.590801,6.55081,7.21779,0.042583,11.3333,0.009862,0.000309,
3.23658,0.01849,0.019722,1.03105,3.11448,0.574701,6.95779,7.14733,0.041109,11.1143,0.010766,0.000494,
3.67698,0.016467,0.018324,1.03086,3.03167,0.581206,7.47078,7.55888,0.047822,10.9769,0.012004,0.000328,
3.68794,0.019213,0.020946,1.01669,3.10247,0.669814,6.45335,8.16361,0.043938,11.3739,0.01087,0.000333,
3.25048,0.017868,0.019513,1.14108,3.08472,0.581669,6.49556,7.05622,0.041252,11.1485,0.015056,0.000397,
3.30156,0.018271,0.020053,1.05025,3.32473,0.588996,6.54808,7.10637,0.042106,10.7796,0.012076,0.00039,
3.31596,0.019277,0.021697,1.01528,3.11787,0.610081,6.58156,7.18154,0.042173,11.2574,0.012951,0.000337,
3.19604,0.020468,0.029127,1.05389,3.18191,0.637524,6.43496,7.25078,0.042361,11.0886,0.013675,0.000281,
3.21588,0.017781,0.020063,1.03311,3.09163,0.5976,6.98048,7.05503,0.042623,11.4953,0.009651,0.000487,
3.29956,0.017964,0.019365,1.12157,3.45765,0.604239,6.89564,7.60615,0.041793,14.5734,0.010477,0.00035,
3.25028,0.017014,0.019935,1.35611,4.20892,0.588302,6.68823,7.50542,0.041906,12.8156,0.011085,0.000402,
3.26971,0.017334,0.019899,1.03181,3.29031,0.593692,6.78844,7.30343,0.042716,10.9133,0.018224,0.000332,
3.30592,0.016758,0.018994,1.03873,3.12976,0.573898,6.52538,7.38303,0.041777,10.731,0.010938,0.000263,
3.25378,0.015982,0.01869,1.01905,4.34123,0.55778,6.61935,7.10374,0.043067,11.6076,0.009675,0.00034,
3.25971,0.017081,0.018089,1.56548,3.76947,0.591707,6.69858,7.23087,0.044344,12.2322,0.014112,0.000276,
3.20485,0.016597,0.019617,1.51925,4.88441,0.577903,6.59385,7.29756,0.044175,10.6689,0.011788,0.000328,
3.26957,0.016191,0.019276,1.12363,3.07314,0.593411,6.47404,7.20812,0.041922,10.7697,0.010537,0.000348,
3.20784,0.016407,0.019602,1.05066,3.6152,0.583577,6.86056,7.07887,0.041863,10.8642,0.011009,0.000417,
3.3586,0.017252,0.020169,1.06203,4.28682,0.589483,6.67605,7.47261,0.041155,10.8202,0.010884,0.000284,
3.18262,0.017037,0.019724,1.26772,3.68985,0.590032,6.50622,7.28737,0.042122,10.6263,0.010549,0.00037,
3.17929,0.0166,0.020419,1.03757,3.10193,0.584583,6.75916,7.11283,0.041783,11.264,0.012012,0.000297,
3.34919,0.015669,0.020136,1.03742,3.09014,0.546186,6.93131,7.32703,0.041946,11.1213,0.017801,0.000327,
3.12668,0.017277,0.019315,1.03835,3.10576,0.565348,6.73184,7.5175,0.041397,10.9464,0.010502,0.000382,
3.38923,0.017647,0.020224,1.04903,3.17571,0.573201,6.72093,7.32687,0.041587,11.0439,0.012158,0.000376,
3.08544,0.01652,0.02034,1.06218,3.08387,0.557895,6.89098,7.30122,0.041849,10.7376,0.010466,0.000278,
2.98732,0.028554,0.021851,1.03453,3.14629,0.556534,6.3583,7.47112,0.045467,10.8779,0.027891,0.000301,
3.01504,0.01705,0.020704,1.0565,3.11067,0.549642,6.6912,6.93025,0.042442,10.8834,0.010457,0.000436,
2.81476,0.016696,0.020339,1.06282,3.14258,0.54312,6.87011,7.25654,0.041674,10.8309,0.01698,0.000324,
2.94777,0.017248,0.021233,1.08734,3.07478,0.547709,6.40306,7.44081,0.041948,10.6407,0.00968,0.000275,
2.95189,0.016894,0.021921,1.05533,3.13649,0.549546,6.78793,6.9764,0.042416,11.1825,0.012101,0.000385,
2.70923,0.01704,0.023805,1.05626,3.10661,0.524943,6.48911,7.33854,0.041598,10.8238,0.01258,0.000326,
2.38411,0.016956,0.023253,1.10367,3.09692,0.519536,6.49757,7.03395,0.041738,10.6545,0.01322,0.000308,
2.42468,0.01786,0.023818,1.0598,3.09207,0.579393,6.49794,7.10349,0.041829,11.0299,0.013108,0.000308,
2.46365,0.017039,0.022843,1.06529,3.15402,0.55442,6.88007,7.07742,0.0416,10.9868,0.013504,0.000292,
2.50506,0.01622,0.021074,1.07104,3.11057,0.528846,6.62149,7.43167,0.042754,11.1204,0.010597,0.00034,
2.54609,0.017651,0.022239,1.06417,3.24904,0.536811,6.58579,7.18312,0.042364,10.741,0.011639,0.000443,
2.66153,0.017129,0.021653,1.04324,3.05776,0.53422,6.99032,7.14439,0.043314,10.8374,0.012446,0.000451,
2.61862,0.026546,0.031025,1.08359,3.12766,0.608206,6.55964,7.63251,0.041494,10.3114,0.024332,0.000333,
2.71149,0.018984,0.030768,1.07868,3.09068,0.543231,6.68451,7.1355,0.042971,10.4301,0.011384,0.000394,
2.95084,0.019207,0.030052,1.06006,3.0352,0.530296,6.6251,7.24649,0.042246,10.7505,0.015284,0.000465,
2.57721,0.017008,0.027759,1.0505,3.05418,0.532418,6.37642,7.18697,0.041254,10.2731,0.011744,0.000396,
2.50503,0.016685,0.029751,1.02522,3.0276,0.539271,6.74365,6.94766,0.041642,10.2761,0.011377,0.000341,
2.52872,0.016632,0.028366,1.08168,2.96026,0.527551,6.53441,7.30175,0.042216,9.65247,0.012326,0.000289,
2.58567,0.017101,0.031612,1.03537,3.00253,0.561918,6.35836,7.12963,0.041833,9.76375,0.0127,0.000363,
2.94492,0.016996,0.028125,1.07458,2.97612,0.523243,6.61069,6.91159,0.04182,9.77854,0.011085,0.00037,
2.54751,0.016319,0.029129,1.03765,3.05384,0.542322,6.40486,7.18463,0.042122,10.1808,0.011679,0.000308,
2.97593,0.018427,0.028366,1.03418,3.00621,0.531595,6.4472,6.96692,0.041824,10.0154,0.012079,0.000402,
2.51694,0.016472,0.027946,1.0193,3.2206,0.525235,8.60169,7.00324,0.042037,10.057,0.012631,0.000441,
3.29118,0.021395,0.034085,1.04262,2.96893,0.708546,6.89181,9.3466,0.050761,10.5117,0.014724,0.000396,
2.70402,0.020647,0.030117,1.0417,3.06673,0.579416,8.44406,7.50321,0.043937,10.2066,0.013605,0.000395,
3.32115,0.021809,0.035558,1.02896,2.99753,0.717125,7.64955,9.19903,0.055343,10.456,0.014312,0.000453,
3.27049,0.016459,0.027347,1.04174,3.00291,0.538986,6.59827,8.21821,0.055459,9.99787,0.011834,0.000341,
2.49805,0.017574,0.029634,1.00882,3.00314,0.549793,6.68166,7.18011,0.041388,9.68431,0.012686,0.000419,
2.59983,0.017413,0.02939,1.06428,3.02375,0.553055,6.48722,7.26648,0.041748,10.0677,0.011787,0.000311,
3.04643,0.019204,0.031056,1.04637,3.01256,0.547572,6.46964,7.0678,0.04166,10.059,0.012192,0.00028,
2.96522,0.017612,0.029474,1.02625,3.03671,0.549457,6.69379,7.05016,0.075826,10.1045,0.012453,0.00027,
3.03628,0.016582,0.028871,1.04207,3.07644,0.556851,6.53051,7.28197,0.041288,10.0827,0.013132,0.000377,
3.02492,0.016463,0.028524,1.04561,3.00437,0.547552,6.61986,7.1174,0.041109,10.1827,0.011942,0.000366,
3.08015,0.017143,0.027549,1.02413,2.99833,0.556076,6.7368,7.20579,0.04167,9.75682,0.017712,0.000413,
3.13385,0.017225,0.027337,1.02045,3.18568,0.569284,6.67198,7.33531,0.042456,12.9117,0.011651,0.000328,
3.18719,0.02601,0.03628,1.34652,3.36024,0.548212,7.02212,7.25825,0.04137,10.4559,0.030701,0.00034,
3.55362,0.027828,0.036542,1.0939,3.44742,0.578877,30.5634,7.63932,0.047259,12.8074,0.017235,0.000324,
3.67888,0.016797,0.026155,1.33688,4.16551,0.616102,6.53158,31.2078,0.056244,11.7781,0.012082,0.000478,
3.49802,0.01694,0.026803,1.1172,3.06604,0.549621,6.92851,7.10953,0.045595,9.90293,0.012049,0.000323,
3.32455,0.016932,0.026828,1.05926,3.05812,0.556417,6.76424,7.51329,0.044349,10.2203,0.011403,0.000517,
3.29924,0.018793,0.027531,1.06707,3.06689,0.569304,6.63897,7.36261,0.042184,10.4515,0.012146,0.000357,
3.45094,0.017587,0.02638,1.016,3.12274,0.569553,7.14979,7.23658,0.040988,10.3953,0.012084,0.000432,
3.88307,0.016748,0.027316,1.03056,3.10559,0.584375,6.75294,7.76304,0.048321,10.6574,0.012354,0.000337,
3.46706,0.018401,0.027427,1.04035,3.10305,0.568486,6.64431,7.35068,0.041975,10.4854,0.013326,0.000377,
3.24896,0.016963,0.027413,1.02989,3.08346,0.574921,6.82709,7.24832,0.041668,10.7245,0.012051,0.000483,
3.27318,0.016313,0.025341,1.01884,3.03425,0.560464,6.81777,7.41451,0.041669,10.8369,0.01223,0.000386,
3.30991,0.016945,0.026443,1.00889,3.07053,0.575842,6.60409,7.42208,0.041605,10.9318,0.012663,0.000538,
3.24918,0.016424,0.027475,1.05924,3.06295,0.574547,6.5053,7.20766,0.041276,11.6793,0.012985,0.000407,
3.21752,0.016262,0.026667,1.08856,3.31136,0.564899,6.82301,7.0985,0.042418,35.3988,0.01204,0.000343,
3.19076,0.017471,0.026298,1.11351,3.10803,0.573824,6.89065,7.42518,0.041567,10.9796,0.011959,0.000345,
3.23099,0.016976,0.027225,1.01172,3.27662,0.566867,6.57109,7.48686,0.042242,11.2676,0.012357,0.000496,
3.2504,0.016223,0.026527,1.04763,3.1237,0.561154,6.74397,7.1612,0.041849,11.0879,0.011511,0.00038,
3.31592,0.016718,0.02726,1.03882,3.12983,0.565066,7.00242,7.3379,0.041691,11.0455,0.01229,0.000407,
3.34711,0.01941,0.030076,1.08377,3.07888,0.557115,6.76629,7.59135,0.048261,12.1803,0.013884,0.00038,
3.19586,0.019631,0.030714,1.00105,3.0503,0.585615,7.07927,7.38473,0.041423,11.1786,0.01446,0.000389,
3.56786,0.017845,0.029797,1.10871,3.0795,0.574846,7.05245,7.68582,0.049223,10.9072,0.011863,0.00047,
3.19684,0.016885,0.030098,1.04018,3.04763,0.558056,6.86863,7.64248,0.048026,11.0448,0.013056,0.000461,
3.2722,0.017408,0.033532,1.01243,3.04719,0.548169,6.44241,7.45221,0.052894,11.0935,0.014804,0.000469,
3.25524,0.018676,0.031946,1.00858,3.08068,0.552401,6.65274,7.0286,0.044254,10.8206,0.013473,0.000409,
3.20848,0.017171,0.028232,1.02455,3.0244,0.554631,7.66485,7.23729,0.044331,10.6661,0.01272,0.000518,
3.52666,0.01986,0.029496,0.999558,3.07814,0.624233,6.35832,8.32097,0.044295,10.9751,0.014174,0.000408,
3.14909,0.017743,0.028171,1.05285,3.18289,0.551512,6.80822,6.93969,0.043686,11.0685,0.013138,0.000378,
3.11829,0.016925,0.028002,1.11565,3.07613,0.552745,6.49477,7.3905,0.042762,10.7634,0.013477,0.000434,
3.1468,0.016653,0.028651,1.09424,3.01393,0.549414,6.78361,7.07462,0.04181,11.0184,0.012468,0.000478,
3.13082,0.017022,0.030421,1.0341,3.10317,0.549947,6.53428,7.36607,0.041203,11.305,0.014439,0.000456,
3.12252,0.016599,0.028039,1.04051,3.00412,0.552749,6.8734,7.11762,0.042979,10.947,0.012832,0.000397,
3.12831,0.025885,0.037437,1.01545,3.09298,0.539361,6.32337,7.45196,0.041645,11.634,0.019168,0.00041,
3.16423,0.025849,0.038588,1.00893,3.05541,0.54001,6.62623,6.90385,0.041392,11.2043,0.023737,0.000459,
3.22087,0.025569,0.037659,1.05174,3.05072,0.560201,6.70251,7.22587,0.041991,11.0936,0.017369,0.000427,
3.1409,0.026294,0.03609,1.01337,3.04572,0.551365,6.81815,7.29168,0.041873,10.6538,0.029481,0.000478,
3.10237,0.026976,0.036232,1.08065,3.2296,0.537234,6.61586,7.39342,0.042097,10.8226,0.033129,0.00039,
3.18555,0.017095,0.027831,1.03824,3.16166,0.5469,7.63535,7.19215,0.042735,12.2516,0.013058,0.000486,
4.7145,0.017136,0.027282,1.03249,3.26445,0.549568,6.6918,8.214,0.059832,10.4902,0.013671,0.000523,
3.08962,0.017225,0.027343,1.03328,3.23972,0.551071,6.62857,7.27175,0.041575,10.8905,0.013616,0.000362,
3.07988,0.017743,0.027808,1.03857,3.22086,0.555846,6.70092,7.21381,0.041758,10.582,0.013446,0.000437,
3.08732,0.019111,0.02924,1.08205,3.19202,0.561459,6.74109,7.29322,0.041706,10.8588,0.015517,0.000301,
3.10346,0.01707,0.029185,1.04921,3.2146,0.549428,6.8384,7.32137,0.041616,10.6068,0.014424,0.000469,
3.32789,0.016855,0.02957,1.06949,3.19725,0.558293,6.89115,7.42793,0.044149,10.9561,0.016802,0.000425,
3.10964,0.018086,0.03507,1.03869,3.01847,0.597129,6.82712,7.52516,0.044061,10.4484,0.016407,0.000486,
3.11698,0.018075,0.032865,1.03643,3.05799,0.599587,6.60784,7.46137,0.041967,10.8245,0.015112,0.0009,
3.16073,0.018962,0.032605,1.03337,3.06208,0.602427,7.09011,7.24493,0.041772,10.8178,0.01555,0.000439,
3.141,0.016932,0.030186,1.03126,3.04582,0.576724,6.96387,7.69898,0.0466,10.8921,0.01427,0.000406,
3.21269,0.01764,0.029496,1.02464,3.03586,0.566214,6.68558,7.56185,0.041192,10.747,0.022945,0.00037,
3.43219,0.018842,0.030206,1.0871,3.4246,0.573179,6.61331,7.291,0.041368,13.3421,0.015155,0.000439,
3.18737,0.019637,0.029915,1.01158,3.06673,0.559599,6.6311,7.20537,0.042244,10.7065,0.01368,0.000458,
3.31799,0.01817,0.031013,1.04042,3.04352,0.571655,6.89465,7.23547,0.044351,10.6371,0.013757,0.000516,
3.19709,0.019705,0.031501,1.09033,2.99154,0.573194,6.94617,7.501,0.042495,10.7285,0.01677,0.000457,
3.18299,0.017338,0.028829,1.06404,3.05594,0.574957,6.71602,7.55168,0.041893,10.7677,0.013619,0.00041,
3.19109,0.01649,0.030481,1.01889,3.06009,0.573894,6.67926,7.32227,0.045333,11.0996,0.012427,0.000458,
3.18665,0.016946,0.029144,1.03132,3.86244,0.584342,6.91811,7.29496,0.041814,10.9854,0.014237,0.000238,
3.28306,0.018201,0.028818,1.55896,3.01532,0.590738,6.73824,7.53933,0.041941,10.9341,0.013621,0.000353,
3.22233,0.018303,0.029919,1.03886,3.04356,0.583135,6.93313,7.35297,0.041626,10.769,0.014938,0.000441,
3.16872,0.018297,0.033267,1.02344,3.02542,0.608548,6.93577,7.5773,0.042152,11.1873,0.016111,0.000377,
3.20172,0.018326,0.033302,1.01716,3.01814,0.605602,6.77894,7.57688,0.041474,11.1269,0.015535,0.000285,
3.21036,0.017797,0.029756,1.0084,3.051,0.581913,7.03468,7.39222,0.042282,11.0798,0.013565,0.000479,
3.16954,0.016841,0.029891,1.00501,2.99689,0.569499,7.13114,7.63559,0.042073,10.762,0.013767,0.000457,
3.19293,0.017673,0.03083,1.02138,3.07085,0.586318,6.82149,7.74983,0.042231,10.9118,0.013859,0.000389,
3.22756,0.017303,0.031198,1.01486,3.01488,0.585554,7.23043,7.43996,0.041643,11.0706,0.012782,0.000407,
3.27824,0.018085,0.032983,0.999999,3.02225,0.588004,7.35204,7.85307,0.041961,11.0763,0.025055,0.000477,
3.2272,0.017753,0.033683,1.01522,3.00909,0.582226,7.2856,7.9695,0.042562,10.8587,0.013919,0.000392,
3.30637,0.020057,0.04474,1.03396,3.07947,0.619586,12.7985,7.9518,0.042354,10.8455,0.02006,0.000397,
3.17831,0.027689,0.063559,1.03996,3.06108,0.977664,7.17281,13.842,0.041768,11.1827,0.028517,0.000459,
3.21245,0.01686,0.035915,1.03481,3.03328,0.605835,7.03042,7.81708,0.04174,10.94,0.015079,0.000515,
3.23684,0.02002,0.043366,1.02511,3.03223,0.634975,7.35445,7.71083,0.041715,11.1077,0.016641,0.000414,
3.22352,0.017419,0.036881,1.02623,3.07196,0.617886,7.471,8.01103,0.041912,11.1299,0.014774,0.000452,
3.30485,0.017065,0.034927,0.998467,3.02977,0.599271,12.4783,8.10773,0.041738,10.9454,0.01396,0.000339,
3.29625,0.033526,0.078562,1.03138,3.05011,0.697592,7.40597,13.2567,0.041978,11.1691,0.031518,0.000447,
3.29392,0.027528,0.053081,1.01502,3.06003,0.614931,13.2076,8.07637,0.041328,11.29,0.018674,0.000403,
3.29576,0.029719,0.06885,1.0817,3.09782,0.659153,12.8849,13.9378,0.042292,11.0196,0.02829,0.000325,
3.42694,0.029465,0.064364,1.03635,3.06079,0.652422,7.49289,13.604,0.040725,11.4932,0.025601,0.000443,
3.38709,0.02742,0.0559,1.07556,3.09107,0.61287,7.4359,8.16364,0.042496,11.545,0.033672,0.000343,
3.27689,0.017462,0.034939,1.06304,2.98069,0.57823,8.18602,8.05075,0.041571,11.6449,0.013886,0.000443,
3.52134,0.017285,0.034638,1.02571,3.08238,0.574513,7.81382,8.79719,0.051799,17.4433,0.014981,0.000365,
3.27658,0.028038,0.057887,1.55934,3.62582,0.602509,7.66885,8.47633,0.04224,11.3756,0.022247,0.000386,
3.29053,0.02819,0.061695,1.08081,3.05056,0.61277,12.7423,8.34579,0.041516,11.3227,0.029249,0.000468,
3.28353,0.029441,0.070592,1.04755,3.07942,0.621181,7.64045,13.4363,0.041363,11.5997,0.029817,0.00044,
3.25425,0.027334,0.074123,1.03019,3.11528,0.624213,7.41308,8.34166,0.041621,11.7766,0.030326,0.00032,
3.28761,0.028391,0.05928,1.02417,3.08248,0.585429,7.41301,8.05974,0.041941,16.9595,0.028822,0.000452,
3.27526,0.030057,0.061581,1.03716,3.28912,0.579957,7.7752,8.0566,0.042241,11.748,0.036367,0.000376,
3.40217,0.027309,0.057958,1.01576,3.01303,0.590927,7.73973,8.42604,0.04135,17.6298,0.029946,0.000522,
3.37056,0.017999,0.040142,1.01567,3.15717,0.569445,7.9022,8.35101,0.040963,17.6933,0.016766,0.000417,
3.07396,0.016958,0.042084,0.998991,3.12437,0.606725,13.2736,8.55353,0.042365,11.9322,0.015087,0.000662,
3.28513,0.018264,0.056019,1.01075,3.06142,0.661611,7.71546,13.9939,0.041233,11.7152,0.019016,0.000374,
3.25838,0.017838,0.04425,1.03798,2.99969,0.612518,7.88676,8.37409,0.041492,12.6843,0.014126,0.000488,
3.30667,0.019617,0.049133,1.01911,3.02369,0.590547,8.59999,8.52837,0.049326,12.122,0.017337,0.000463,
4.03723,0.01938,0.050652,0.99431,3.35358,0.619918,8.46552,9.27271,0.055544,12.0213,0.018446,0.000466,
3.47556,0.02181,0.052139,1.04309,3.17521,0.683115,9.21664,9.20274,0.045387,17.1187,0.017369,0.000473,
3.72546,0.022032,0.050986,1.07061,3.2101,0.717379,7.99409,9.98827,0.047022,11.9725,0.020235,0.000437,
3.19496,0.0178,0.045847,1.04709,3.084,0.595659,8.53665,8.63787,0.040888,11.738,0.016031,0.000409,
3.55887,0.017976,0.045155,0.998334,3.04627,0.603707,9.03036,9.1885,0.04445,11.734,0.015903,0.000518,
4.08004,0.021665,0.05645,1.01092,3.09298,0.613851,8.06967,9.70308,0.047765,12.2253,0.018424,0.000423,
